fw,gl,gt,il,iw,mt,pl,pw,sl,sw,tt,freq,s11,gain
1,30,2,2,1.2,3,27,30.5,35,40,0.5,16.578,-31.92013165,8.407437827
1,30,2,2,1.2,3,27,30,35,40,0.5,16.59,-32.08467412,8.281710211
1,30,2,2,1,3,30.5,33.5,35,40,0.5,12,-6.63754615,7.796499538
1,30,2,2,1,3,30.5,33,35,40,0.5,12,-7.955151332,7.838645612
1,30,2,2,1,3,30.5,32.5,35,40,0.5,12,-8.774641698,7.911372166
1,30,2,2,1,3,30.5,32,35,40,0.5,12.078,-9.084651291,7.795070156
1,30,2,2,1,3,30.5,31.5,35,40,0.5,12.12,-9.787272359,7.760245587
1,30,2,2,1,3,30.5,31,35,40,0.5,12.21,-9.699090083,7.720233694
1,30,2,2,1,3,30.5,30.5,35,40,0.5,12.18,-10.03906136,7.964075762
1,30,2,2,1,3,30.5,30,35,40,0.5,12.258,-10.07532361,7.979443762
1,30,2,2,1,3,30,33.5,35,40,0.5,12.042,-6.147379694,7.587183342
1,30,2,2,1,3,30,33,35,40,0.5,12.066,-6.694736573,7.606331575
1,30,2,2,1,3,30,32.5,35,40,0.5,12.096,-7.180666131,7.562001485
1,30,2,2,1,3,30,32,35,40,0.5,12.138,-7.753769999,7.514997905
1,30,2,2,1,3,30,31.5,35,40,0.5,12.138,-8.307393926,7.565600464
1,30,2,2,1,3,30,31,35,40,0.5,12.204,-8.417238796,7.607794167
1,30,2,2,1,3,30,30.5,35,40,0.5,12.252,-8.650614799,7.750062204
1,30,2,2,1,3,30,30,35,40,0.5,12.318,-8.757838343,7.839019555
1,30,2,2,1,3,29.5,33.5,35,40,0.5,12.948,-5.543388746,6.60744316
1,30,2,2,1,3,29.5,33,35,40,0.5,12.084,-5.872768574,7.394251874
1,30,2,2,1,3,29.5,32.5,35,40,0.5,12.12,-6.350738696,7.330294661
1,30,2,2,1,3,29.5,32,35,40,0.5,12.162,-6.759107884,7.260543193
1,30,2,2,1,3,29.5,31.5,35,40,0.5,12.21,-7.12611926,7.273688942
1,30,2,2,1,3,29.5,31,35,40,0.5,12.252,-7.331796362,7.319819219
1,30,2,2,1,3,29.5,30.5,35,40,0.5,12.312,-7.591526697,7.573755086
1,30,2,2,1,3,29.5,30,35,40,0.5,12.408,-7.387973853,8.124041574
1,30,2,2,1,3,29,33.5,35,40,0.5,18,-6.617848599,7.908901887
1,30,2,2,1,3,29,33,35,40,0.5,18,-6.640975095,7.875823992
1,30,2,2,1,3,29,32.5,35,40,0.5,18,-7.093170562,8.239973021
1,30,2,2,1,3,29,32,35,40,0.5,18,-7.15837095,8.31256618
1,30,2,2,1,3,29,31.5,35,40,0.5,18,-7.209056047,8.562158586
1,30,2,2,1,3,29,31,35,40,0.5,18,-7.218392925,8.450662263
1,30,2,2,1,3,29,30.5,35,40,0.5,18,-7.104373879,8.575461087
1,30,2,2,1,3,29,30,35,40,0.5,18,-6.851266685,8.188072389
1,30,2,2,1,3,28.5,33.5,35,40,0.5,18,-8.698677823,8.152935015
1,30,2,2,1,3,28.5,33,35,40,0.5,18,-9.25871527,8.412909841
1,30,2,2,1,3,28.5,32.5,35,40,0.5,18,-9.343699148,8.525357644
1,30,2,2,1,3,28.5,32,35,40,0.5,18,-9.43769295,8.546614763
1,30,2,2,1,3,28.5,31.5,35,40,0.5,18,-9.238226412,8.707394363
1,30,2,2,1,3,28.5,31,35,40,0.5,18,-8.987505471,8.782956868
1,30,2,2,1,3,28.5,30.5,35,40,0.5,18,-8.899353127,8.66367522
