fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain
1,30,2,2,2,2.5,30,31.5,35,40,2,12.276,-12.16567975,6.988610575
1,30,2,2,2,2,30,31.5,35,40,2,12.594,-10.8697622,7.883065945
1,30,2,2,2,1.5,30,31.5,35,40,2,12.792,-10.24501031,8.902370169
1,30,2,2,2,3,30,31.5,35,40,1.3,12.138,-8.991951569,7.586761948
1,30,2,2,2,2.5,30,31.5,35,40,1.3,12.444,-8.623047973,7.049665266
1,30,2,2,2,2,30,31.5,35,40,1.3,12.606,-8.346997757,8.391567631
1,30,2,2,2,1.5,30,31.5,35,40,1.3,12.792,-8.045127275,9.107857559
1,30,2,2,2,3,30,31.5,35,40,0.7,12.168,-6.760710162,7.618645079
1,30,2,2,2,2.5,30,31.5,35,40,0.7,12.432,-6.444627414,7.704540127
1,30,2,2,2,2,30,31.5,35,40,0.7,12.624,-6.312542762,8.955709213
1,30,2,2,2,1.5,30,31.5,35,40,0.7,12.798,-6.637254139,9.339374092
1,30,2,2,2,3,30,31.5,35,40,0.1,18,-6.902626528,8.362516985
1,30,2,2,2,2.5,30,31.5,35,40,0.1,16.71,-6.290394719,8.37330009
1,30,2,2,2,2,30,31.5,35,40,0.1,17.43,-6.924046895,7.443098699
1,30,2,2,2,1.5,30,31.5,35,40,0.1,18,-9.768824763,7.224173352
1,30,1.8,2,2,3,30,31.5,35,40,2,12.102,-11.45807628,7.466691745
1,30,1.8,2,2,2.5,30,31.5,35,40,2,12.282,-12.04518361,6.953091874
1,30,1.8,2,2,2,30,31.5,35,40,2,12.588,-10.97356295,7.910866685
1,30,1.8,2,2,1.5,30,31.5,35,40,2,12.792,-10.36181054,8.858386802
1,30,1.8,2,2,3,30,31.5,35,40,1.3,12.144,-9.019231031,7.530889062
1,30,1.8,2,2,2.5,30,31.5,35,40,1.3,12.426,-8.526547026,7.136848506
1,30,1.8,2,2,2,30,31.5,35,40,1.3,12.624,-8.221670803,8.456728644
1,30,1.8,2,2,1.5,30,31.5,35,40,1.3,12.798,-7.925971233,9.135840553
1,30,1.8,2,2,3,30,31.5,35,40,0.7,12.18,-6.637329123,7.549453765
1,30,1.8,2,2,2.5,30,31.5,35,40,0.7,12.45,-6.401399404,7.799967679
1,30,1.8,2,2,2,30,31.5,35,40,0.7,12.636,-6.359296717,8.964937334
1,30,1.8,2,2,1.5,30,31.5,35,40,0.7,12.804,-6.601912439,9.327245163
1,30,1.8,2,2,3,30,31.5,35,40,0.1,18,-6.959983843,8.265722295
1,30,1.8,2,2,2.5,30,31.5,35,40,0.1,16.704,-6.33047937,8.386070776
1,30,1.8,2,2,2,30,31.5,35,40,0.1,17.448,-6.991147793,7.41256861
1,30,1.8,2,2,1.5,30,31.5,35,40,0.1,18,-9.886722423,7.416132596
1,30,1.4,2,2,3,30,31.5,35,40,2,12.114,-11.77216685,7.431947201
1,30,1.4,2,2,2.5,30,31.5,35,40,2,12.39,-11.20480295,6.634431149
1,30,1.4,2,2,2,30,31.5,35,40,2,12.6,-10.94394437,8.018897382
1,30,1.4,2,2,1.5,30,31.5,35,40,2,12.816,-9.931962746,8.843629714
1,30,1.4,2,2,3,30,31.5,35,40,1.3,12.15,-9.102287539,7.492738876
1,30,1.4,2,2,2.5,30,31.5,35,40,1.3,12.438,-8.512986723,7.119559291
1,30,1.4,2,2,2,30,31.5,35,40,1.3,12.618,-8.390687231,8.447244938
1,30,1.4,2,2,1.5,30,31.5,35,40,1.3,12.804,-7.886491309,9.134158363
1,30,1.4,2,2,3,30,31.5,35,40,0.7,12.192,-6.731915382,7.467218107
1,30,1.4,2,2,2.5,30,31.5,35,40,0.7,12.456,-6.446730646,7.775953102
1,30,1.4,2,2,2,30,31.5,35,40,0.7,12.654,-6.313522766,8.925848231
1,30,1.4,2,2,1.5,30,31.5,35,40,0.7,18,-6.701722685,8.069960006
1,30,1.4,2,2,3,30,31.5,35,40,0.1,18,-6.843272134,8.271254883
1,30,1.4,2,2,2.5,30,31.5,35,40,0.1,16.764,-6.59658052,8.460663571
1,30,1.4,2,2,2,30,31.5,35,40,0.1,17.472,-7.043739707,7.341689953
1,30,1.4,2,2,1.5,30,31.5,35,40,0.1,18,-9.812234716,7.667333417
1,30,1,2,2,3,30,31.5,35,40,2,12.126,-11.75809578,7.424133557
1,30,1,2,2,2.5,30,31.5,35,40,2,12.306,-12.0269799,6.835252879
1,30,1,2,2,2,30,31.5,35,40,2,12.618,-10.8807696,8.018477457
1,30,1,2,2,1.5,30,31.5,35,40,2,12.834,-9.725570509,8.891343268
1,30,1,2,2,3,30,31.5,35,40,1.3,12.162,-9.196456565,7.460893635
1,30,1,2,2,2.5,30,31.5,35,40,1.3,12.456,-8.591488396,7.173177591
1,30,1,2,2,2,30,31.5,35,40,1.3,12.66,-8.125810486,8.454135392
1,30,1,2,2,1.5,30,31.5,35,40,1.3,12.846,-7.49902088,9.111753713
1,30,1,2,2,3,30,31.5,35,40,0.7,12.21,-6.73411247,7.498252173
1,30,1,2,2,2.5,30,31.5,35,40,0.7,12.468,-6.494263923,7.793365112
1,30,1,2,2,2,30,31.5,35,40,0.7,12.666,-6.189135117,8.930122834
1,30,1,2,2,1.5,30,31.5,35,40,0.7,17.694,-7.659237096,7.904809696
1,30,1,2,2,3,30,31.5,35,40,0.1,18,-7.012277583,7.994999399
1,30,1,2,2,2.5,30,31.5,35,40,0.1,16.77,-6.535642246,8.357552188
1,30,1,2,2,2,30,31.5,35,40,0.1,17.352,-7.098643002,7.315636606
1,30,1,2,2,1.5,30,31.5,35,40,0.1,18,-9.860398074,7.843312371
1,30,2,2,2,3,30,31,35,40,2,12.144,-11.39012201,7.53318187
1,30,2,2,2,2.5,30,31,35,40,2,12.426,-11.53364091,7.022056511
1,30,2,2,2,2,30,31,35,40,2,12.642,-11.58058239,8.346291844
1,30,2,2,2,1.5,30,31,35,40,2,12.876,-11.25954564,8.996586857
1,30,2,2,2,3,30,31,35,40,1.3,12.192,-9.20329953,7.599874264
1,30,2,2,2,2.5,30,31,35,40,1.3,12.462,-8.82584584,7.702178204
1,30,2,2,2,2,30,31,35,40,1.3,12.672,-8.980374091,8.84110911
1,30,2,2,2,1.5,30,31,35,40,1.3,12.828,-9.265472034,9.196840383
1,30,2,2,2,3,30,31,35,40,0.7,12.228,-6.996221439,7.611468258
1,30,2,2,2,2.5,30,31,35,40,0.7,12.492,-6.803662427,8.34554807
1,30,2,2,2,2,30,31,35,40,0.7,12.702,-6.972987426,9.2324384
1,30,2,2,2,1.5,30,31,35,40,0.7,12.852,-7.522013255,9.319060536
1,30,2,2,2,3,30,31,35,40,0.1,18,-7.004227687,8.433438494
1,30,2,2,2,2.5,30,31,35,40,0.1,16.674,-6.248794622,8.281871382
1,30,2,2,2,2,30,31,35,40,0.1,17.562,-6.551949078,7.375646223
1,30,2,2,2,1.5,30,31,35,40,0.1,18,-8.78173765,7.105180948
1,30,1.8,2,2,3,30,31,35,40,2,12.15,-11.42824804,7.446658041
1,30,1.8,2,2,2.5,30,31,35,40,2,12.432,-11.60005542,7.048723139
1,30,1.8,2,2,2,30,31,35,40,2,12.648,-11.65429241,8.423387273
1,30,1.8,2,2,1.5,30,31,35,40,2,12.882,-11.24440162,9.013450145
1,30,1.8,2,2,3,30,31,35,40,1.3,12.198,-9.170376001,7.568907281
1,30,1.8,2,2,2.5,30,31,35,40,1.3,12.48,-8.940183379,7.655178594
1,30,1.8,2,2,2,30,31,35,40,1.3,12.678,-8.945876903,8.849881953
1,30,1.8,2,2,1.5,30,31,35,40,1.3,12.876,-8.970212653,9.170961677
1,30,1.8,2,2,3,30,31,35,40,0.7,12.234,-6.934073068,7.559841542
1,30,1.8,2,2,2.5,30,31,35,40,0.7,12.504,-6.829266174,8.40896718
