fw,gl,gh,il,iw,sh,pl,pw,sl,sw,ph,freq,s11,gain,bandwidth
1,30,2.4,1.6,1,2.4,28,32,30,40,1.5,13.734,-24.80699396,8.301090785,0.482797451
1,30,2.4,1.6,1,2.2,28,32,30,40,1.5,13.752,-23.0021828,8.450824627,0.434864416
1,30,2.4,1.6,1,2,28,32,30,40,1.5,13.77,-22.57917828,8.57459584,0.40782986
1,30,2.4,1.6,1,1.8,28,32,30,40,1.5,13.776,-23.50009854,8.58356678,0.366553612
1,30,2.4,1.6,1,1.6,28,32,30,40,1.5,13.8,-26.10395721,8.472263424,0.339232582
1,30,2.4,1.6,1,1.4,28,32,30,40,1.5,13.812,-30.16308065,8.356373521,0.31494486
1,30,2.4,1.6,1,1.2,28,32,30,40,1.5,13.824,-46.08405081,8.115254353,0.29074544
1,30,2.4,1.6,1,1,28,32,30,40,1.5,12.432,-29.27184147,9.28589471,0.229255761
1,30,2.4,1.6,1,3.2,28,32,30,40,1.3,13.674,-30.69385897,7.069081792,0.631299188
1,30,2.4,1.6,1,3,28,32,30,40,1.3,13.722,-44.20804087,7.493469178,0.617693081
1,30,2.4,1.6,1,2.8,28,32,30,40,1.3,13.722,-30.22471691,7.890399796,0.552095532
1,30,2.4,1.6,1,2.6,28,32,30,40,1.3,13.728,-26.35372028,8.293522647,0.496570344
1,30,2.4,1.6,1,2.4,28,32,30,40,1.3,13.746,-23.80721311,8.513924995,0.450223087
1,30,2.4,1.6,1,2.2,28,32,30,40,1.3,13.764,-23.6090895,8.624456364,0.412587835
1,30,2.4,1.6,1,2,28,32,30,40,1.3,13.77,-22.5218582,8.612614134,0.38281579
1,30,2.4,1.6,1,1.8,28,32,30,40,1.3,13.794,-26.20479922,8.654092623,0.352763439
1,30,2.4,1.6,1,1.6,28,32,30,40,1.3,13.8,-29.36244591,8.509771923,0.326474214
1,30,2.4,1.6,1,1.4,28,32,30,40,1.3,13.83,-42.07070198,8.272363599,0.303088081
1,30,2.4,1.6,1,1.2,28,32,30,40,1.3,13.848,-33.36837356,8.134088177,0.27729416
1,30,2.4,1.6,1,1,28,32,30,40,1.3,12.432,-26.70856561,9.281772943,0.209352646
1,30,2.4,1.6,1,3.2,28,32,30,40,1.1,13.71,-38.04647882,7.540485219,0.632180782
1,30,2.4,1.6,1,3,28,32,30,40,1.1,13.71,-37.44150619,7.981359463,0.566876877
1,30,2.4,1.6,1,2.8,28,32,30,40,1.1,13.716,-28.69127564,8.288031845,0.505874082
1,30,2.4,1.6,1,2.6,28,32,30,40,1.1,13.734,-25.0209855,8.476037463,0.451576425
1,30,2.4,1.6,1,2.4,28,32,30,40,1.1,13.752,-25.05385378,8.670228073,0.420314869
1,30,2.4,1.6,1,2.2,28,32,30,40,1.1,13.764,-25.43942128,8.718925235,0.392860837
1,30,2.4,1.6,1,2,28,32,30,40,1.1,13.782,-26.42074942,8.785034099,0.365012731
1,30,2.4,1.6,1,1.8,28,32,30,40,1.1,13.806,-29.5946091,8.693127242,0.338032565
1,30,2.4,1.6,1,1.6,28,32,30,40,1.1,13.83,-56.95333491,8.441763819,0.316635049
1,30,2.4,1.6,1,1.4,28,32,30,40,1.1,13.842,-28.65758236,8.196163099,0.286751161
1,30,2.4,1.6,1,1.2,28,32,30,40,1.1,12.372,-23.7951196,9.453145142,0.220096628
1,30,2.4,1.6,1,1,28,32,30,40,1.1,12.462,-25.50598004,9.286321288,0.217002999
1,30,2.4,1.6,1,3.2,28,32,30,40,0.9,13.692,-46.96015179,7.869310388,0.576915927
1,30,2.4,1.6,1,3,28,32,30,40,0.9,13.704,-32.81982477,8.248612277,0.516623995
1,30,2.4,1.6,1,2.8,28,32,30,40,0.9,13.728,-27.97292226,8.524971135,0.47414475
1,30,2.4,1.6,1,2.6,28,32,30,40,0.9,13.74,-26.61655727,8.697435652,0.428588927
1,30,2.4,1.6,1,2.4,28,32,30,40,0.9,13.764,-27.036091,8.738858054,0.396793484
1,30,2.4,1.6,1,2.2,28,32,30,40,0.9,13.782,-29.76413696,8.766247364,0.377096689
1,30,2.4,1.6,1,2,28,32,30,40,0.9,13.794,-38.19975335,8.759912837,0.350705717
1,30,2.4,1.6,1,1.8,28,32,30,40,0.9,13.818,-49.06298697,8.577261851,0.318156209
1,30,2.4,1.6,1,1.6,28,32,30,40,0.9,13.824,-29.96772828,8.469030697,0.295699596
1,30,2.4,1.6,1,1.4,28,32,30,40,0.9,13.86,-22.25876736,8.096361905,0.273017838
